l_cell_to_lens_aperture,0,1,2,3,4,5,6,7,8,9,10,11
0.44999999999999996,44,50,41,36,42,39,41,45,47,43,39,50
0.5055555555555555,42,35,35,41,40,44,37,34,43,39,45,39
0.5611111111111111,42,40,50,41,41,34,44,35,49,42,41,43
0.6166666666666667,49,50,45,32,56,39,41,38,36,31,45,40
0.6722222222222223,40,37,39,34,47,39,37,28,33,49,45,38
0.7277777777777779,44,44,34,43,41,48,49,35,43,43,48,47
0.7833333333333334,42,50,38,36,39,43,45,35,37,49,47,41
0.838888888888889,34,46,45,33,28,37,43,36,38,43,40,40
0.8944444444444446,39,47,46,43,34,37,48,38,34,39,42,45
