,del_s2w,z_len,absolute_number,desired_vel_class,enhancement_successes,enhancement_desired_molecules,enhancement_number_successes_1m,enhancement_desired_molecules_1m,mean_velocity,mean_velocity_reduction
0,0.5,250,184,1,0.1284019539427774,0.125,1.1572327044025157,inf,131.9990343124288,1.0330153884497637
1,0.5,500,1,0,0.0017889087656529517,0.0,0.006289308176100629,,133.1596446798443,1.0420982455765575
2,0.5,750,0,0,0.0,0.0,0.0,,,
3,0.5,1000,0,0,0.0,,0.0,,,
4,0.5,1250,0,0,0.0,,0.0,,,
5,0.5,1500,0,0,0.0,,0.0,,,
6,1.5,250,717,8,0.5003489183531054,1.0,4.509433962264151,inf,119.20749085027312,0.932909646712632
7,1.5,500,137,6,0.24508050089445438,6.0,0.8616352201257862,inf,107.13026913982675,0.8383941380076114
8,1.5,750,45,6,0.15517241379310345,6.0,0.2830188679245283,inf,91.19015712471895,0.7136479147417274
9,1.5,1000,15,3,0.09433962264150944,inf,0.09433962264150944,inf,87.85126680377178,0.6875179881111988
10,1.5,1250,1,0,0.009523809523809525,,0.006289308176100629,,82.78340392951294,0.6478572408721586
11,1.5,1500,0,0,0.0,,0.0,,,
12,2.5,250,2265,54,1.5806001395673412,6.75,14.245283018867925,inf,110.64980816091692,0.8659378089744014
13,2.5,500,1299,95,2.323792486583184,95.0,8.169811320754716,inf,95.4971360944271,0.7473540367343117
14,2.5,750,749,111,2.5827586206896553,111.0,4.710691823899371,inf,85.01438006370499,0.6653167070712045
15,2.5,1000,369,61,2.3207547169811322,inf,2.3207547169811322,inf,79.62413666920087,0.6231330319934532
16,2.5,1250,139,25,1.3238095238095238,inf,0.8742138364779874,inf,79.49922618453408,0.6221554911083123
17,2.5,1500,60,11,0.8571428571428571,inf,0.37735849056603776,inf,74.56654464297671,0.5835526637066343
18,3.5,250,3473,63,2.4235868806699234,7.875,21.842767295597483,inf,113.24544760209068,0.8862511052008964
19,3.5,500,2486,145,4.447227191413238,145.0,15.635220125786164,inf,99.44833933785488,0.7782758822963983
20,3.5,750,1704,182,5.875862068965517,182.0,10.716981132075471,inf,89.47563549918543,0.7002301861027894
21,3.5,1000,1012,144,6.364779874213837,inf,6.364779874213837,inf,83.85880623845054,0.6562732655778966
22,3.5,1250,543,88,5.171428571428572,inf,3.4150943396226414,inf,80.49520049563901,0.6299499177511378
23,3.5,1500,283,41,4.042857142857143,inf,1.779874213836478,inf,78.32225974320963,0.612944632469003
24,4.5,250,4231,66,2.952547103977669,8.25,26.61006289308176,inf,114.46368332949442,0.8957849344423188
25,4.5,500,3288,166,5.8819320214669055,166.0,20.67924528301887,inf,101.42953234000882,0.7937805628372415
26,4.5,750,2478,223,8.544827586206896,223.0,15.584905660377359,inf,92.64015449440262,0.7249954946986353
27,4.5,1000,1713,208,10.773584905660377,inf,10.773584905660377,inf,86.61574704506461,0.6778488952263422
28,4.5,1250,1098,152,10.457142857142857,inf,6.90566037735849,inf,83.33973327439618,0.6522110361654659
29,4.5,1500,631,74,9.014285714285714,inf,3.9685534591194966,inf,82.89304005907516,0.6487152457019498
30,5.5,250,4839,46,3.3768318213538033,5.75,30.433962264150942,inf,116.85443480079279,0.914494791470247
31,5.5,500,3940,119,7.04830053667263,119.0,24.77987421383648,inf,105.78730953474798,0.8278842282545659
32,5.5,750,3275,230,11.293103448275861,230.0,20.59748427672956,inf,96.2068741954841,0.7529083984308196
33,5.5,1000,2469,275,15.528301886792454,inf,15.528301886792454,inf,89.15192735422062,0.6976968683640877
34,5.5,1250,1736,201,16.533333333333335,inf,10.918238993710691,inf,85.20563882353515,0.6668134850068123
35,5.5,1500,1153,140,16.47142857142857,inf,7.251572327044025,inf,83.20018880379001,0.651118970710138
36,6.5,250,5264,44,3.6734124214933708,5.5,33.106918238993714,inf,117.45613015785807,0.919203618063145
37,6.5,500,4395,114,7.862254025044723,114.0,27.641509433962263,inf,107.51525380418963,0.8414070015840427
38,6.5,750,3717,235,12.817241379310344,235.0,23.37735849056604,inf,98.2710889174163,0.7690628012560206
39,6.5,1000,3031,222,19.062893081761008,inf,19.062893081761008,inf,93.52298372664353,0.7319044557151196
40,6.5,1250,2377,185,22.63809523809524,inf,14.949685534591195,inf,91.27805876229186,0.7143358269280229
41,6.5,1500,1777,94,25.385714285714286,inf,11.176100628930818,inf,90.0129410435663,0.704435102438246
